Product Name,Calories,Protein,Carbohydrates,Fat,Sugars,Category,Serving Size,DietarySuitability,ContainsGluten,ContainsDairy,ContainsNuts,ContainsPeanuts,ContainsSoy,ContainsEggs,ContainsSesame,ContainsFish,IsDiabeticFriendly,ContainsMeat,Image
"Ham, fresh, cooked, lean only eaten",209,29.2,0,9.4,0,Dish,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,0,PIC/Ham_fresh_cooked_lean_and_fat.png
"Pork bacon, NS as to fresh, smoked or cured, cooked",468,33.9,1.7,35.1,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Pork_bacon_cooked.png
"Lamb, NS as to cut, cooked, lean and fat eaten",292,24.3,0,20.8,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Lamb_cooked_lean_and_fat.png
"Lamb chop, NS as to cut, cooked, NS as to fat eaten",313,25,0,22.9,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Lamb_Chop_Cooked.png
"Lamb chop, NS as to cut, cooked, lean and fat eaten",313,25,0,22.9,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Lamb_Chop_Lean_Only.png
"Lamb chop, NS as to cut, cooked, lean only eaten",214,29.7,0,9.6,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Lamb_Shoulder_Fat_Lean.png
"Lamb, shoulder, cooked, lean and fat eaten",275,22.4,0,19.9,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Lamb_shoulder_cooked_lean_and_fat.png
"Lamb, cooked in tomato paste, with olive oil",307,22.8,5.8,20.6,3.3,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Lamb_Shoulder_Lean.png
"Lamb, shoulder, cooked, lean only eaten",203,24.8,0,10.7,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Lamb_Grilled_Onion_Olive.png
"Lamb, grilled, with onion and olive oil",371,32,2,25,1.1,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Lamb_Roast_Fat_Lean.png
"Lamb, roast, cooked, lean and fat eaten",265,23.8,0,18.1,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Lamb_Roast_Lean.png
"Lamb, fried in olive oil",430,37.9,0,29.7,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Lamb_Fried_Olive.png
"Lamb, roast, cooked, lean only eaten",196,26.4,0,9.2,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Lamb_Stew_Veggies.png
"Lamb, fried in corn oil",484,36.1,0,36.5,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Lamb_Kebab_Grilled.png
"Lamb, cooked in sweet teriyaki sauce",256,21.9,1.6,17.3,1.6,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/lamb_cooked_teriyaki.png
"Lamb, oven-baked",369,28.8,0,27.4,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/lamb_oven-baked.png
"Lamb, fried in olive oil with fried onion and parsley",390,29,0.9,29.1,0.5,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/lamb_fried_in_olive_oil_with_fried_onion_and_parsley.png
"Lamb, ground or patty, cooked",281,24.5,0,19.5,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/lamb_ground_or_patty_cooked.png
"Beef, turkey and lamb, patties, grilled",174,18.7,8,7,0.3,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/beef_turkey_and_lamb_patties_grilled.png
"Lamb patties, baked in tahini",184,12.1,7.2,11.5,0.9,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,1,0,1,1,PIC/lamb_patties_baked_in_tahini.png
"Lamb patties, cooked in tomato sauce",136,10,9.7,6.1,2.9,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/lamb_patties_cooked_in_tomato_sauce.png
"Veal, cooked with peas, carrots, tomatoes and ca0la oil",127,10.5,5.7,6.1,3.2,Dish,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,0,PIC/veal_cooked_with_peas_carrots_tomatoes_and_cala_oil.png
"Veal, fried in olive oil, cooked with tomato",125,11.3,2.6,7.5,1.4,Dish,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,0,PIC/veal_fried_in_olive_oil_cooked_with_tomato.png
"Veal, cooked with onion, with olive oil",126,14.9,2,6.3,0.6,Dish,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,0,PIC/veal_cooked_with_onion_with_olive_oil.png
"Lamb, patties, fried without oil",174,14,9.1,8.8,1.1,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/lamb_patties_fried_without_oil.png
"Goat, baked",142,26.9,0,3,0,Dish,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,0,PIC/goat_baked.png
"Veal, NS as to cut, cooked, lean and fat eaten",229,29.9,0,11.3,0,Dish,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,0,PIC/veal_ns_as_to_cut_cooked_lean_and_fat_eaten.png
"Veal, NS as to cut, cooked, lean only eaten",194,31.6,0,6.5,0,Dish,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,0,PIC/veal_ns_as_to_cut_cooked_lean_only_eaten.png
"Veal, shoulder, goulash, cooked",154,20.4,1.2,6.2,1.2,Dish,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,0,PIC/veal_shoulder_goulash_cooked.png
"Veal, patties, cooked in tomato sauce and margarine",117,10.8,9,4,2.9,Dish,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,0,PIC/veal_patties_cooked_in_tomato_sauce_and_margarine.png
"Veal, patties, baked in soy oil",147,15.1,8,5.7,1.1,Dish,100,"Vegan,  DiabeticFriendly",0,0,0,0,1,0,0,0,1,0,PIC/veal_patties_baked_in.png
"Veal, cooked with baked potatoes with olive oil",130,9.9,10.9,5.3,0.5,Dish,100,Vegan,0,0,0,0,0,0,0,0,0,0,PIC/veal_cooked_with_baked.png
"Turkey and veal, patties fried without oil ",141,18.3,8,3.3,1.1,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/turkey_and_veal_patties.png
"Veal, steak, cooked",160,20.9,1.5,6.4,1.5,Dish,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,0,PIC/veal_steak_cooked.png
"Veal steak, baked in tomato paste, with olive oil",210,21,5.3,10.3,3.7,Dish,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,0,PIC/veal_steak_baked_in.png
"Veal, ground or patty, cooked",171,24.2,0,7.5,0,Dish,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,0,PIC/veal_ground_or_patty.png
"Chicken, NS as to part, roasted, broiled or baked, skin eaten",204,27.9,0,9.4,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_ns_as_to.png
"Chicken, NS as to part, roasted, broiled or baked, skin 0t eaten",161,29.3,0,4.2,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_ns_as_to1.png
"Chicken, meat and bones, with skin, cooked",145,16.3,0,8.3,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_breast_boneless_grilled.png
"Chicken breast, sliced grilled, Of V'od, OfHaemek",109,22,0.4,2.2,0.2,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_breast_sliced_grilled.png
"Chicken, breast, boneless, grilled, skin eaten",195,29.5,0,7.7,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/
"Chicken, breast, marinated, grilled",129,23,2.6,3,1.1,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_breast_marinated_grilled.png
"Chicken, breast, roasted, broiled, or baked, skin eaten",195,29.5,0,7.7,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_breast_roasted_broiled.png
"Chicken, breast, roasted, broiled, or baked, skin 0t eaten",160,30.1,0,3.8,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_breast_roasted_broiled2.png
"Chicken, breast, stewed, skin eaten",182,27.2,0,7.4,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_breast_stewed_skin.png
"Chicken, breast, stewed, skin 0t eaten",150,28.2,0,3.5,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/hicken_breast_stewed_skin.png
"Chicken, breast, baked in soy oil",147,24.4,0,4.8,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,1,0,0,0,1,1,PIC/chicken_breast_baked_in.png
"Chicken, breast, baked in olive oil",147,24.4,0,4.8,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_breast_baked_in1.png
"Chicken, breast, with stirfry vegetables, Chinese style, cooked with soy oil",106,10.6,4.1,4.7,2.1,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,1,0,0,0,1,1,PIC/chicken_breast_with_stirfry.png
"Shnitzel, chicken breast, crumbed, fried, in ca0la oil ",263,26,12.3,11.2,0.6,Meat,100,Vegan,0,0,0,0,0,0,0,0,0,1,PIC/shnitzel_chicken_breast_crumbed.png
"Shnitzel, chicken breast, fried in soy oil, with sesame",299,25.1,17.8,13,0.6,Meat,100,Vegan,0,0,0,0,1,0,1,0,0,1,PIC/shnitzel_chicken_breast_fried.png
"Shnitzel, chicken breast, fried in sunflower oil",273,23.3,20.2,9.9,2,Meat,100,Vegan,0,0,0,0,0,0,0,0,0,1,PIC/shnitzel_chicken_breast_fried1.png
"Shnitzel, chicken breast, fried in ca0la oil",270,25.7,18.3,9.3,0.6,Meat,100,Vegan,0,0,0,0,0,0,0,0,0,1,PIC/shnitzel_chicken_breast_fried2.png
"Shnitzel, chicken breast, fried in soy oil",270,25.7,18.3,9.3,0.6,Meat,100,Vegan,0,0,0,0,1,0,0,0,0,1,PIC/shnitzel_chicken_breast_fried3.png
"Shnitzel, chicken breast, fried in corn oil",271,25.7,18.3,9.3,0.6,Meat,100,Vegan,0,0,0,0,0,0,0,0,0,1,PIC/shnitzel_chicken_breast_fried4.png
"Shnitzel, chicken breast, fried in olive oil",270,25.7,18.3,9.3,0.6,Meat,100,Vegan,0,0,0,0,0,0,0,0,0,1,PIC/shnitzel_chicken_breast_fried5.png
"Chicken, breast, fried without oil",176,33,0,3.8,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_breast_fried_without.png
"Chicken, breast, fried in olive oil",188,32.4,0,5.5,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_breast_fried_in.png
"Chicken, breast, fried in soy oil",188,32.4,0,5.5,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,1,0,0,0,1,1,PIC/chicken_breast_fried_in1.png
"Chicken, breast, fried with onion, carrots in soy oil",161,25.1,2,4.7,1.3,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,1,0,0,0,1,1,PIC/chicken_breast_fried_with.png
"Chicken, breast, fried in corn oil",188,32.4,0,5.5,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_breast_cooked_in.png
"Chicken, breast, cooked in soy sauce and honey",130,18.5,7.1,2.1,6.6,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,1,0,0,0,1,1,PIC/chicken_breast_cooked_in.png
"Chicken, grilled poultry, Of V'Od, Of Haemek",191,14.6,0.8,14.4,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_grilled_poultry_of.png
"Chicken, leg (drumstick and thigh), roasted, broiled, or baked, skin eaten",205,23.4,0,11.9,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_leg_drumstick_and.png
"Chicken, leg (drumstick and thigh), stewed, skin eaten",211,23.1,0.1,12.6,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_leg_drumstick_and1.png
"Chicken, leg (drumstick and thigh), stewed, skin 0t eaten",173,25.1,0,7.5,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_leg_drumstick_and2.png
"Chicken, leg, fried in soy oil, 0t coated",196,27.2,0,8.8,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,1,0,0,0,1,1,PIC/hicken_leg_fried_in.png
"Chicken, fried with onion and celery in soy oil",114,14,1.1,5.5,0.7,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,1,0,0,0,1,1,PIC/chicken_fried_with_onion.png
"Chicken, leg (drumstick and thigh), fried, 0 coating, skin 0t eaten",198,27.6,0,9.2,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_leg_drumstick_and3.png
"Chicken, leg, fried in  olive oil, without coating , eaten with skin",196,27.2,0,8.8,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_leg_fried_in.png
"Chicken, cooked with dried fruit and soy oil",148,12.9,11,5.4,10.5,Meat,100,Vegan,0,0,0,0,1,0,0,0,0,1,PIC/chicken_cooked_with_dried.png
"Chicken, drumstick, boneless, grilled, skin eaten",172,28.3,0,5.7,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_drumstick_boneless_grilled.png
"Chicken, drumstick, boneless, grilled, skin 0t eaten",171,28,0,5.6,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_drumstick_boneless_grilled1.png
"Chicken, drumstick, roasted, broiled, or baked, skin eaten",186,23.6,0,9.7,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_drumstick_roasted_broiled.png
"Chicken, drumstick, stewed, skin eaten",196,24,0,10.6,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_drumstick_stewed_skin.png
"Chicken, drumstick, stewed, skin 0t eaten",162,25.9,0,5.8,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_drumstick_stewed_skin1.png
"Chicken, leg, fried in olive oil, cooked in tomato sauce",113,12.9,2.2,5.4,1.5,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_leg_fried_in1.png
"Chicken, leg, coated, fried in ca0la oil",240,18.3,4.7,15.8,0.2,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_leg_coated_fried.png
"Chicken, drumstick, fried, 0 coating, skin 0t eaten",186,27.2,0,8.1,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_leg_fried_in2.png
"Chicken, drumstick, fried in soy oil, skin 0t eaten",146,21.5,0,6,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,1,0,0,0,1,1,PIC/chicken_drumstick_fried_in3.png
"Chicken, drumstick, grilled, OfHaemek",158,17.2,0.4,9.7,0.4,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_drumstick_grilled.png
"Chicken, leg, cooked in honey, onion, soy sauce, and soy oil",136,14.9,4.2,6.2,3.2,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,1,0,0,0,1,1,PIC/chicken_thigh_boneless_grilled2.png
"Chicken, drumstick, fried in olive oil",195,20,0.1,12.1,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_leg_cooked_in.png
"Chicken, thigh, boneless, grilled, skin eaten",247,25.1,0,15.5,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_thigh_boneless_grilled.png
"Chicken, thigh, boneless, grilled, skin 0t eaten",209,25.9,0,10.9,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_thigh_boneless_grilled1.png
"Chicken, cooked with onion, garlic, and soy oil",230,14.4,2.3,17.6,0.9,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,1,0,0,0,1,1,PIC/chicken_cooked_with_onion.png
"Chicken, thigh, roasted, broiled, or baked, skin eaten",225,23.1,0,14.2,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/hicken_thigh_roasted_broiled.png
"Chicken, thigh, stewed, skin eaten",225,22.3,0.1,14.6,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_thigh_stewed_skin.png
"Chicken, cooked with mayonnaise",270,17.2,0.5,21.6,0.1,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,1,0,0,1,1,PIC/chicken_cooked_with_ma.png
"Chicken, thigh, stewed, skin 0t eaten",184,24.2,0,9.2,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_thigh_stewed_skin1.png
"Chicken, thigh, without skin, fried in soy oil",206,28.1,0,9.7,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,1,0,0,0,1,1,PIC/chicken_thigh_without_skin.png
"Chicken, thigh, fried, 0 coating, skin eaten",259,25.9,0.3,16.6,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_thigh_fried_0.png
"Chicken, thigh, fried, 0 coating, skin 0t eaten",212,27.9,0,10.6,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/chicken_thigh_fried_01.png
